dim,tau,score
8,5,7.834103201192343
8,6,7.702069335812584
8,7,7.546166134817659
8,8,7.373398032919754
8,9,7.178931146860237
8,10,6.979512745734847
8,11,6.756800000595423
8,12,6.519039939366743
8,13,6.268673595003091
8,14,6.038896548262101
8,15,5.775653886961361
8,16,5.505647908976797
8,17,5.265150392117968
8,18,4.989792116355972
8,19,4.711751076738593
8,20,4.466656137102052
8,21,4.187907450404126
8,22,3.909371454498965
8,23,3.632128773448667
8,24,3.3890196006851188
8,25,3.116961341294286
8,26,2.849074505945551
8,27,2.6155521141755464
8,28,2.3594339130763915
8,29,2.1111193956193115
8,30,1.8991205191738243
8,31,1.6705074078053714
8,32,1.4532437131065383
8,33,1.248250032989942
8,34,1.083306545761711
8,35,0.9061913258415908
8,36,0.7439641754995474
8,37,0.6234448286601557
8,38,0.49398609331475773
8,39,0.38143945999142437
9,1,9.113950574920251
9,2,9.014490690506102
9,3,9.00147088726913
9,4,8.880652768374913
9,5,8.716846957666704
9,6,8.533255656061131
9,7,8.317889389118376
9,8,8.07392197343254
9,9,7.804884116520819
9,10,7.537565055381484
9,11,7.237071048165898
9,12,6.921583753754595
9,13,6.594340850000773
9,14,6.258355384938188
9,15,5.954624810600645
9,16,5.610892057736505
9,17,5.263970716943732
9,18,4.915590252140658
9,19,4.567260017801754
9,20,4.257561977513358
9,21,3.912786199393965
9,22,3.571977623639369
9,23,3.2368244020147623
9,24,2.9091680423680124
9,25,2.6230000033613625
9,26,2.3161015864702157
9,27,2.0228640464585212
9,28,1.7451294695147155
9,29,1.4845363658504507
9,30,1.2728619048241918
9,31,1.0511129391660448
9,32,0.8504359782262849
9,33,0.6719225400085462
9,34,0.5164635403271447
9,35,0.4136522154601958
9,36,0.3052130204744046
9,37,0.21909312898431255
9,38,0.15319189783443088
9,39,0.10424440088028852
10,1,10.115252455295485
10,2,10.073770443290265
10,3,9.954940276293598
10,4,9.789725461088565
10,5,9.57775822029978
10,6,9.322484115162533
10,7,9.028815626656833
10,8,8.702148473849666
10,9,8.347954255842641
10,10,8.003725744963617
10,11,7.616313381304902
10,12,7.214900095265969
10,13,6.803262360942157
10,14,6.384632223498282
10,15,5.961690432464935
10,16,5.536669753318693
10,17,5.111520595954145
10,18,4.688086553485256
10,19,4.2682881292355415
10,20,3.8930290104984198
10,21,3.486135253883847
10,22,3.0905389609293876
10,23,2.709378527090099
10,24,2.345839559183373
10,25,2.0029166856539575
10,26,1.6832418460052718
10,27,1.389031472046025
10,28,1.1221838395124797
10,29,0.8843866546879067
10,30,0.7100876356211683
10,31,0.5336806472207152
10,32,0.38845493230587946
10,33,0.27333699905736886
10,34,0.18571893857338662
10,35,0.12129048428670952
10,36,0.08513470888505248
10,37,0.05761871599468016
10,38,0.03135536216610246
10,39,0.03911917430008938
11,1,11.113045641930297
11,2,11.053727653083342
11,3,10.89428923164986
11,4,10.675206223888054
11,5,10.397970443291092
11,6,10.068561869944627
11,7,9.694365931298888
11,8,9.282891072610632
11,9,8.841353829562019
11,10,8.37653376784049
11,11,7.894286209293
11,12,7.399720613094342
11,13,6.896889445926252
11,14,6.389121897677085
11,15,5.879245653183539
11,16,5.369906734450146
11,17,4.8638958403364825
11,18,4.364408482396717
11,19,3.8751979873481646
11,20,3.4005856823867404
11,21,2.9452510708326103
11,22,2.5139554195678167
11,23,2.1110448847175487
11,24,1.7401477323833516
11,25,1.4041873219993257
11,26,1.1055755251990194
11,27,0.8462800460448854
11,28,0.6275428864501236
11,29,0.44948134776373916
11,30,0.3105020877812299
11,31,0.20698428532805435
11,32,0.13277136441996396
11,33,0.09210985051602538
11,34,0.06016888240334861
11,35,0.029339331891927944
11,36,0.04163806254352176
11,37,0.18179334614316867
11,38,0.468642771845615
11,39,0.7366611604769964
12,1,12.136237045499287
12,2,12.04989972369003
12,3,11.838039967465136
12,4,11.547056881060508
12,5,11.184392997066404
12,6,10.760200625413912
12,7,10.285300284859172
12,8,9.770089604424145
12,9,9.224141597478459
12,10,8.655784898486399
12,11,8.02026627653142
12,12,7.425415800010835
12,13,6.825694001978734
12,14,6.224496936152356
12,15,5.625163479678834
12,16,5.031518904521155
12,17,4.44825885580765
12,18,3.88109081007181
12,19,3.3365511278817834
12,20,2.821482222194878
12,21,2.300267181391693
12,22,1.8628586381272054
12,23,1.4708008669657393
12,24,1.1272640221620316
12,25,0.8346076428324003
12,26,0.593936447352831
12,27,0.4043860068006362
12,28,0.2624363400392191
12,29,0.16145453131500354
12,30,0.09596464416292472
12,31,0.023956762258070974
12,32,0.04715908147629433
12,33,0.08379773311082861
